Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price,Brand,Model,Age
Mumbai,2010,72000,CNG,Manual,First,26.6,998,58.16,5.0,1.75,Maruti,Wagon,10
Pune,2015,41000,Diesel,Manual,First,31.668700000000005,1582,126.2,5.0,12.5,Hyundai,Creta,5
Chennai,2011,46000,Petrol,Manual,First,29.302,1199,88.7,5.0,4.5,Honda,Jazz,9
Chennai,2012,87000,Diesel,Manual,First,33.4397,1248,88.76,7.0,6.0,Maruti,Ertiga,8
Coimbatore,2013,40670,Diesel,Automatic,Second,24.472,1968,140.8,5.0,17.74,Audi,A4,7
Hyderabad,2012,75000,LPG,Manual,First,21.1,814,55.2,5.0,2.35,Hyundai,EON,8
Jaipur,2013,86999,Diesel,Manual,First,37.1588,1461,63.1,5.0,3.5,Nissan,Micra,7
Mumbai,2016,36000,Diesel,Automatic,First,18.2896,2755,171.5,8.0,17.5,Toyota,Innova,4
Pune,2013,64430,Diesel,Manual,First,33.0694,1598,103.6,5.0,5.2,Volkswagen,Vento,7
Chennai,2012,65932,Diesel,Manual,Second,35.903000000000006,1248,74.0,5.0,1.95,Tata,Indica,8
Kochi,2018,25692,Petrol,Manual,First,34.7116,1462,103.25,5.0,9.95,Maruti,Ciaz,2
Kolkata,2012,60000,Petrol,Automatic,First,27.048000000000002,1497,116.3,5.0,4.49,Honda,City,8
Jaipur,2015,64424,Diesel,Manual,First,40.572,1248,74.0,5.0,5.6,Maruti,Swift,5
Delhi,2014,72000,Diesel,Automatic,First,20.447,2179,187.7,5.0,27.0,Land,Rover,6
Delhi,2014,110000,Diesel,Manual,First,21.735000000000003,2477,175.56,7.0,15.0,Mitsubishi,Pajero,6
Kochi,2016,58950,Diesel,Manual,First,41.538000000000004,1498,98.6,5.0,5.4,Honda,Amaze,4
Jaipur,2017,25000,Diesel,Manual,First,45.724000000000004,1248,74.0,5.0,5.99,Maruti,Swift,3
Kochi,2014,77469,Diesel,Manual,First,32.9245,1461,83.8,5.0,6.34,Renault,Duster,6
Bangalore,2014,78500,Diesel,Automatic,First,23.892400000000002,2143,167.62,5.0,28.0,Mercedes-Benz,New,6
Kochi,2014,32982,Diesel,Automatic,First,36.5309,1995,190.0,5.0,18.55,BMW,3,6
Bangalore,2015,55392,Diesel,Manual,Second,38.0765,1248,88.5,5.0,8.25,Maruti,S,5
Mumbai,2015,55985,Petrol,Automatic,First,21.7833,1984,177.01,5.0,23.5,Audi,A6,5
Kolkata,2010,45807,Petrol,Manual,First,29.785,1197,80.0,5.0,1.87,Hyundai,i20,10
Kolkata,2010,33000,Petrol,Automatic,First,23.184,1598,103.6,5.0,2.85,Volkswagen,Vento,10
Mumbai,2012,51920,Petrol,Manual,First,27.048000000000002,1497,116.3,5.0,4.25,Honda,City,8
Hyderabad,2012,54000,Diesel,Manual,First,37.1588,1461,63.1,5.0,4.25,Nissan,Micra,8
Hyderabad,2013,54000,Petrol,Manual,Second,33.681200000000004,998,67.1,5.0,2.75,Maruti,Alto,7
Kochi,2018,37430,Petrol,Manual,First,28.175,1199,88.7,5.0,9.9,Honda,WRV,2
Bangalore,2013,62000,Diesel,Manual,First,30.606100000000005,1461,108.45,5.0,7.75,Renault,Duster,7
Delhi,2012,87615,Petrol,Manual,First,23.3933,1798,138.1,5.0,6.75,Toyota,Corolla,8
Bangalore,2013,72000,Diesel,Automatic,Second,17.9998,2696,184.0,7.0,12.5,Mahindra,Ssangyong,7
Kolkata,2010,35000,Diesel,Automatic,First,19.964000000000002,2698,179.5,5.0,11.5,Audi,A6,10
Coimbatore,2014,55431,Petrol,Manual,Second,25.9049,1598,103.5,5.0,6.98,Volkswagen,Vento,6
Jaipur,2009,83816,Petrol,Manual,Second,22.540000000000003,1061,64.0,5.0,1.85,Maruti,Wagon,11
Kochi,2018,50075,Diesel,Manual,First,39.123000000000005,1248,88.5,5.0,8.63,Maruti,Vitara,2
Delhi,2017,52000,Petrol,Manual,First,29.2215,1198,82.0,5.0,4.85,Mahindra,KUV,3
Pune,2013,85000,Diesel,Automatic,First,18.901400000000002,2987,254.8,5.0,28.0,Mercedes-Benz,M-Class,7
Chennai,2013,62000,Diesel,Manual,First,35.532700000000006,1199,73.9,5.0,5.0,Volkswagen,Polo,7
Delhi,2008,90000,Petrol,Manual,Second,31.717000000000002,796,46.3,5.0,1.25,Maruti,Alto,12
Kochi,2014,19698,Petrol,Manual,First,40.894,624,37.5,4.0,1.53,Tata,Nano,6
Coimbatore,2017,22033,Diesel,Manual,First,40.7652,1198,77.0,6.0,5.58,Mahindra,KUV,3
Kochi,2014,35487,Petrol,Manual,First,29.785,1197,82.9,5.0,4.74,Hyundai,i20,6
Bangalore,2014,46374,Petrol,Automatic,First,23.5382,1999,149.92,5.0,8.85,Hyundai,Elantra,6
Mumbai,2016,52001,Petrol,Automatic,First,22.9908,1798,138.03,5.0,10.11,Toyota,Corolla,4
Ahmedabad,2008,58005,Diesel,Manual,Second,23.989,1991,112.2,5.0,4.25,Hyundai,Elantra,12
Bangalore,2012,70704,Petrol,Manual,First,18.1125,2694,163.7,7.0,10.95,Toyota,Innova,8
Jaipur,2014,75000,Diesel,Manual,First,39.284,1120,71.0,5.0,3.85,Hyundai,Xcent,6
Jaipur,2012,75800,Diesel,Manual,Second,26.645500000000002,2498,105.0,6.0,5.5,Mahindra,Thar,8
Kochi,2015,13648,Diesel,Automatic,First,27.5471,1968,174.33,5.0,21.43,Audi,A4,5
Delhi,2014,52000,Diesel,Manual,First,36.869,1248,74.0,5.0,4.25,Maruti,Swift,6
Kolkata,2014,53000,Diesel,Manual,First,28.658,1248,75.0,5.0,3.3,Maruti,Swift,6
Delhi,2013,65650,Diesel,Manual,First,45.724000000000004,1248,74.0,5.0,3.85,Maruti,Swift,7
Chennai,2015,54000,Petrol,Manual,Third,30.429,1197,82.0,5.0,3.6,Hyundai,Grand,5
Kolkata,2015,39000,Petrol,Manual,First,24.2144,1598,103.2,5.0,3.99,Volkswagen,Vento,5
Kochi,2017,16542,Petrol,Manual,First,40.523700000000005,799,53.3,5.0,3.3,Renault,KWID,3
Kolkata,2010,32000,Petrol,Manual,First,32.7796,1197,78.9,5.0,2.07,Hyundai,i10,10
Hyderabad,2010,121812,Diesel,Automatic,First,21.3969,1995,147.6,5.0,7.75,Nissan,X-Trail,10
Hyderabad,2010,39300,Petrol,Manual,First,29.302,998,67.1,5.0,2.25,Maruti,Zen,10
Mumbai,2017,22000,Diesel,Manual,First,22.024800000000003,2393,147.8,8.0,16.5,Toyota,Innova,3
Bangalore,2010,72000,Diesel,Manual,First,32.2,1399,68.0,5.0,2.75,Ford,Figo,10
Delhi,2015,58000,Petrol,Automatic,First,18.901400000000002,1796,186.0,5.0,26.7,Mercedes-Benz,New,5
Pune,2011,65000,Diesel,Manual,Second,25.438000000000002,2148,170.0,5.0,10.0,Mercedes-Benz,New,9
Jaipur,2012,65664,Diesel,Automatic,First,26.645500000000002,1968,140.0,5.0,13.5,Audi,A4,8
Mumbai,2007,63000,Petrol,Automatic,Second,26.404,1497,78.0,5.0,1.85,Honda,City,13
Pune,2016,63000,Diesel,Manual,First,39.4772,1248,88.5,7.0,8.15,Maruti,Ertiga,4
Mumbai,2018,13000,Diesel,Manual,First,35.581,1396,88.7,5.0,10.5,Hyundai,Creta,2
Mumbai,2008,73000,Petrol,Automatic,First,13.685,4806,500.0,5.0,14.5,Porsche,Cayenne,12
Mumbai,2015,55729,Diesel,Manual,First,24.311,2179,140.0,7.0,9.65,Mahindra,XUV500,5
Kochi,2012,45178,Petrol,Automatic,First,27.2895,1197,78.9,5.0,3.48,Hyundai,i10,8
Kochi,2015,56066,Diesel,Manual,First,31.620400000000004,1461,108.5,5.0,6.92,Nissan,Terrano,5
Coimbatore,2016,37300,Petrol,Automatic,Second,26.565,1198,86.8,5.0,6.46,Honda,Brio,4
